Role,Companies,Location,Experience,Skills
Data Scientist/ Academic Counselor,GREAT LAKES E-LEARNING SERVICES PRIVATE LIMITED,"Chennai, Bengaluru",2-7 Yrs,"Data Science
Artificial Intelligence
training
Tableau
Machine Learning
Python
sql"
Data Scientist,Shell India Markets Private Limited,Chennai,5-7 Yrs,"Data Science
Multivariate Analysis
Factor Analysis
Natural Language Processing
Reinforcement Learning
Neural Networks
Market Basket Analysis
Decision Trees"
Senior Data Scientist,Decision Point,Gurgaon,3-5 Yrs,"Azure
timeseries forecasting
Machine Learning Models
data analytics
data science
sas
data mining
stata"
Data Scientist - Machine Learning & Statistical Analysis - R/python,Talent Stock Solutions,Delhi,2-5 Yrs,"Data Science
R
C
Data Scientist
Statistical Analyst
Machine Learning
Algorithm
Python"
Data Scientist,Zen3Tech (A Tech Mahindra Company),Hyderabad,3-8 Yrs,"R
A/B Testing
Data Manipulation
Machine Learning
Python"
Data Scientist,Extentia Information Technology Pvt Ltd,Pune,0-2 Yrs,"Machine Learning
Python"
Data Scientist,KONE Elevator India Pvt. Ltd,Pune,3-5 Yrs,"predictive algorithms
K-Means
Github
Generalized Linear Model
random forest
Clustering
Machine Learning
Deep Learning"
Data Scientist | Integreon Managed Solutions | Mumbai,INTEGREON MANAGED SOLUTIONS INDIA PVT LIMITED,Mumbai,2-7 Yrs,"analytics
python
tableau
regression
predictive modeling
data scientist
statistical modeling
market analysis"
Data Scientist,Bigshyft Hiring for Indus OS,Mumbai,2-5 Yrs,"cassandra
Scala
Hadoop
Spark
Python"
Senior Data Scientist (NLP),Visible Alpha Solutions India Pvt. Ltd.,Mumbai,5-7 Yrs,"Java
R
NLP
Algorithms
Linux
Web Technologies
Programming
Information Retrieval"
Sr. Data Scientist,Orcapod Consulting Services Private Limited,Bengaluru,6-9 Yrs,"Data Science
Statistical Modeling
Python
R
SAS
Data Manipulation
Artificial Intelligence
Data Analysis"
"Hiring For Data Scientist-research and Analyst, Kalyani Nagar, PunR",Wolters Kluwer India Pvt Ltd,Pune,4-7 Yrs,"texanomies
categorization
Content Analysis
Tagging
Content Research"
Senior Data Scientist,Johnson Controls India Private Limited,Bengaluru(Whitefield),5-6 Yrs,"NLP
Image Processing
Natural Language Processing
Text Mining
Computer Vision
Machine Learning"
"Manager, Data Scientist || Fiserv || Chennai Location",Fiserv India Pvt Ltd,Chennai,15-24 Yrs,"Predictive Modeling
R
Requirement Gathering
Hadoop
Big Data
Data Mining
New Business
Business Development"
Data Scientist,Black Knight India Solutions Private Limited,Hyderabad,6-10 Yrs,"Financial Analysis
R
Finance
Data Analysis
Chartered Financial Analyst
Macroeconomics
SQL Scripting
Analytics"
Tomtom is Hiring For Senior Data Scientist,TomTom India Private Limited,Pune,8-12 Yrs,"Pytorch
Tensorflow
Data Science
Object Detection
Cnn
NLP
Computer Vision
Machine Learning"
Senior Data Scientist ( AVP ) – Leading Finance Company – Bangalore,Hector and Streak Consulting Pvt Ltd,Bengaluru,7-10 Yrs,"Data Science
Algorithms
Artificial Intelligence
Machine Learning
Deep Learning
Fraud Detection"
