Role,Companies,Location,Experience,Skills
Data Science/analysis Expert - Machine Learning,Catalyst,Bengaluru,2-6 Yrs,"IT Skills
Python
Data Science
Machine Learning
Tableau
analytics
deep learning
algorithms"
Internship ON Python DATA Science AND Machine Learning,Wozti Infotech ,"Thrissur, Kozhikode, Kochi",0-1 Yrs,"IT Skills
Data Science
Data sc
Python"
Data Science & Machine Learning Engineer,Pactera Technologies India Private Limited,Hyderabad,2-5 Yrs,"Decision Trees
Machine Learning
Python
IT Skills
Python
Testing
Machine Learning
Cloud"
Data Science Engineer - ETL/Python/R,DATA LABS,Pune,0-1 Yrs,"IT Skills
Python
Testing
Tableau
Data Science
Application Designing
Business Intelligence
R"
Data Science - Intern,zeotap,Bengaluru,0-1 Yrs,"Computer science
Health insurance
ISO 27001
Machine learning
Manager Technology
Programming
data privacy
Data mining"
Inviting Applications For Python/R + Data Science - Manager - Noida,GENPACT India Private Limited,Noida,6-8 Yrs,"Predictive Modeling
ARIMA/ARIMAX
Forecasting
R
Arima
Data Analysis
Statistical Modeling
SQL Queries"
Data Science Engineer - Statistical Modeling/ Machine Learning,Lera Technologies Pvt. Ltd,India,7-12 Yrs,"IT Skills
Python
Machine Learning
Artificial Intelligence
Data Science
Predictive Modeling
Data Scientist
Artificial Intelligence"
Data Science/ Analysis Expert - Machine Learning,Catalyst,Bengaluru,2-6 Yrs,"Regression Algorithms
NLP
Data Scientist
Artificial Intelligence
Data Modeling
Data Warehousing
Data Analytics
ETL"
Data Science/ Scientist - Python/ Deep Learning,ICR INDIA CERTIFICATIONS PRIVATE LIMITED ,"Chennai, Bengaluru, Hyderabad",0-3 Yrs,"python
c++
java"
Analyst - Data Science,Merkle Inc.,Pune,1-6 Yrs,"IT Skills
Python
Data Science
Tableau
Power BI
Data validation
SAS
Technology solutions"
Analyst - Data Science,Merkle Sokrati,Pune,1-6 Yrs,"Analyst
Data validation
data science
SAS
Troubleshooting
Adobe
Digital marketing
Analytics"
"Data Science Engineer, SMART MFG & AI",Micron Semiconductor Asia Pte Ltd,Hyderabad,3-6 Yrs,"R
Data Analysis
SQL Server
Tableau
Sap Hana
SSIS
Machine Learning
Python"
Data science Consultant,Dell International Services IndiaPrivate Limited,Bengaluru,10-15 Yrs,"IT Skills
Data Science
Machine Learning
Big Data
Data Transformation
Automation
Business Intelligence
Statistical modeling"
Sr Data Science Consultants,Larsen & Toubro Infotech Limited,India,3-5 Yrs,"IT Skills
Data Science
Machine Learning
Computer science
Data analysis
data science
Consulting
Machine learning"
"Senior Analyst, Data Science",Ingredion,Mumbai,3-5 Yrs,"IT Skills
Python
Data Science
Cloud
Operations research
Analytical
Data collection
market data"
Data Analyst - Data Science,DataToBiz,Chandigarh,3-7 Yrs,"IT Skills
Python
Cloud
Oracle
AWS
Tableau
Power BI
DataLake"
Data Science Manager,Talent  Corner HR Services Pvt Ltd,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad",5-10 Yrs,"IT Skills
Java
Python
Software Development
Oracle
Big Data
.Net
SAP"
Senior Manager- Data Science & Analytics,Novartis Healthcare Pvt. Ltd.,Hyderabad,8-10 Yrs,"CRO
Medical devices
Data management
Pharma
Analytical
Project management
Clinical trials
Pharmacovigilance"
Manager Data Science,Reliance Jio Infocomm Ltd.,Hyderabad,5-7 Yrs,"Report generation
Data management
Machine learning
Data structures
Business modeling
Mobile applications
Data warehousing
Predictive analytics"
Technical Trainee - Data Science/ Machine Learning,Ideadunes,Pune,2-6 Yrs,"IT Skills
Python
Data Science
Machine Learning
Artificial Intelligence
Cloud
AWS
Azure"
Data Science Analyst - NLP/Machine Learning,Randstad,Bengaluru,2-7 Yrs,"IT Skills
Python
Machine Learning
Predictive Modeling
Data Science
R
NLP
Data Management"
Need Data Science - Python,Confidential,"Pune, Bengaluru, Hyderabad",8-13 Yrs,"IT Skills
Java
Python
Cloud
AWS
Data Science
Java
Algorithms"
